性别,大学,入学年,J值
M,广西民族大学,2015,256
M,石河子大学,2016,105
F,广西中医药大学赛恩斯新医药学院,2016,234
M,西昌学院,2016,200
F,广西师范大学,2014,611
F,石河子大学,2017,201
M,石河子大学,2017,160
F,石河子大学,2017,173
F,石河子大学,2016,248
M,石河子大学,2016,164
M,石河子大学,2016,350
M,石河子大学,2015,138
F,石河子大学,2017,579
M,石河子大学,2016,258
M,浙江理工大学,2016,62
M,石河子大学,2015,193
M,石河子大学,2015,173
M,石河子大学,2017,161
M,石河子大学,2015,162
M,广西师范大学,2017,161
F,石河子大学,2015,161
M,石河子大学,2017,217
F,石河子大学,2016,214
M,广西交通职业技术学院,2017,114
M,闽江学院,2017,546
M,石河子大学,2016,329
M,石河子大学,2017,205
F,四川信息职业技术学院,2016,342
M,石河子大学,2017,213
F,石河子大学,2015,228
M,石河子大学,2016,778
F,石河子大学,2015,159
M,石河子大学,2017,218
M,石河子大学,2014,88
M,石河子大学,2016,206
M,云南农业大学,2017,89
M,贵州民族大学,2017,152
M,五邑大学,2017,60
M,石河子大学,2017,212
F,石河子大学,2017,219
M,石河子大学,2017,153
M,石河子大学,2015,160
F,广东药科大学,2016,110
F,石河子大学,2016,266
M,石河子大学,2017,152
M,贵州工程应用技术学院,2017,103
M,石河子大学,2016,320
M,石河子大学,2017,203
M,兰州理工大学,2017,237
M,石河子大学,2017,147
F,广西师范大学,2015,740
M,贵州理工学院,2016,375
F,河源职业技术学院,2017,266
M,石河子大学,2017,266
F,广西师范大学,2015,369
M,仲恺农业工程学院,2017,785
M,广西师范大学,2017,415
M,上海行健职业学院,2017,74
M,内蒙古电子信息职业技术学院,2017,99
F,广西外国语学院,2017,165
M,广西师范大学,2012,560
F,四川化工职业技术学院,2016,9484
M,石家庄铁道大学,2016,62
F,广西师范大学,2015,476
M,赤峰学院,2017,10
F,四川化工职业技术学院,2016,1665
M,贵州商学院,2016,56
F,广西师范大学,2016,455
M,北海职业学院,2017,2300
M,广西师范大学,2017,226
M,四川信息职业技术学院,2017,370
M,玉林师范学院,2017,181
M,黔南民族师范学院,2017,86
M,北华航天工业学院,2017,16
F,广西师范大学,2017,583
F,玉溪师范学院,2017,704
M,昆明卫生职业学院,2017,10
F,西华师范大学,2017,235
M,贵州理工学院,2017,165
M,广西农业职业技术学院,2017,124
F,广西师范大学,2015,716
M,贵州工程应用技术学院,2017,100
M,贵州工程应用技术学院,2017,165
F,浙江理工大学,2017,60
M,兰州理工大学,2017,884
F,陕西科技大学,2017,539
M,四川信息职业技术学院,2016,626
M,贵阳中医学院,2016,6
M,贵州民族大学,2017,116
M,桂林理工大学,2017,125
M,广西农业职业技术学院,2017,168
F,广西师范学院,2017,390
F,福建工程学院,2016,11237
M,桂林理工大学,2016,427
F,贵阳中医学院,2017,118
F,兰州理工大学,2017,2686
M,福建中医药大学,2015,26
M,柳州职业技术学院,2017,798
M,贵州民族大学,2015,14
M,贵州大学,2014,12
F,四川化工职业技术学院,2016,1230
M,广西农业职业技术学院,2017,1795
M,桂林理工大学,2017,160
F,兰州理工大学,2015,317
M,广西农业职业技术学院,2017,104
F,广西师范大学,2015,514
M,广西师范学院,2017,104
F,西南石油大学,2016,2278
M,北华航天工业学院,2017,577
M,四川信息职业技术学院,2017,1407
F,西藏民族大学,2015,118
F,浙江理工大学,2016,67
M,哈尔滨师范大学,2016,19
F,北华航天工业学院,2017,121
M,桂林理工大学,2017,180
M,西华师范大学,2017,259
M,西南科技大学,2017,146
M,四川建筑职业技术学院,2017,702
M,桂林理工大学,2013,12
F,西南石油大学,2015,2677
M,广西师范大学,2017,290
M,广西师范学院,2017,262
M,广西科技大学,2017,109
M,东华大学,2017,144
M,四川化工职业技术学院,2017,232
M,兰州理工大学,2016,241
M,广西师范大学,2015,255
F,桂林理工大学,2016,2126
M,川北医学院,2017,134
M,广西师范大学,2015,273
M,广西民族大学,2015,180
F,广西民族大学,2017,1864
M,四川化工职业技术学院,2016,2382
M,武汉生物工程学院,2016,124
M,广西师范大学,2017,156
M,广西民族大学相思湖学院,2016,5558
M,广西师范大学,2017,155
M,贵州理工学院,2016,251
M,成都航空职业技术学院,2017,7551
M,广西师范大学,2014,136
M,柳州城市职业学院,2016,70
M,福建中医药大学,2017,47
F,陕西科技大学,2016,310
M,唐山学院,2016,34
M,柳州城市职业学院,2017,106
M,贵州民族大学,2017,148
M,安徽科技学院,2017,354
M,广西师范大学,2016,637
M,西北农林科技大学,2016,4182
F,广西民族大学,2017,1258
M,西藏民族大学,2015,46
M,亳州学院,2017,181
M,四川交通职业技术学院,2017,667
M,呼和浩特职业学院,2016,30
F,山东师范大学,2017,107
M,兰州理工大学,2017,163
M,柳州城市职业学院,2016,54
M,兰州理工大学,2015,132
M,广西农业职业技术学院,2017,166
F,兰州理工大学,2017,845
M,浙江理工大学,2016,18
M,兰州理工大学,2017,354
M,广西师范大学,2017,164
M,山东师范大学,2017,285
M,浙江理工大学,2016,19
F,广西师范大学,2015,727
M,广西科技大学,2017,118
M,桂林理工大学,2016,160
M,贵州工程应用技术学院,2016,60
M,淮北师范大学,2017,40
F,玉林师范学院,2017,313
M,兰州理工大学,2016,5274
M,黑龙江大学,2016,72
F,四川农业大学,2015,161
M,广西农业职业技术学院,2016,469
M,武夷学院,2017,188
M,贵州理工学院,2016,634
M,福建工程学院,2016,4535
M,广西师范大学,2016,752
M,哈尔滨师范大学,2017,13
F,四川信息职业技术学院,2016,415
F,广西师范大学,2014,274
F,曲靖师范学院,2017,22
M,贵州理工学院,2015,521
F,西华师范大学,2016,520
M,陕西科技大学,2017,283
M,贵州工程应用技术学院,2017,155
M,广西科技大学,2017,70
M,哈尔滨师范大学,2017,21
M,广西电力职业技术学院,2016,138
F,广西师范大学,2017,205
F,广西师范大学,2016,894
F,广西师范大学,2017,955
M,广西师范大学,2016,296
M,广西科技大学,2017,72
M,东华大学,2017,72
M,东华大学,2017,174
M,阿坝师范学院,2017,206
M,浙江理工大学,2017,190
F,浙江理工大学,2016,92
M,贵州理工学院,2016,252
M,广西职业技术学院,2017,34
M,广西师范大学,2016,387
M,桂林理工大学,2016,787
M,广西农业职业技术学院,2017,198
M,贵州民族大学,2017,80
M,广西中医药大学赛恩斯新医药学院,2016,381
M,贵州工程应用技术学院,2017,94
M,广西师范大学,2016,552
F,兰州理工大学,2017,653
F,广西师范大学,2016,1320
M,广西师范大学,2017,358
F,成都农业科技职业学院,2017,197
M,西南科技大学,2017,231
F,广西师范大学,2015,264
M,广西师范学院,2017,232
M,呼伦贝尔学院,2015,44
F,山东科技大学,2017,1238
M,湘潭医卫职业技术学院,2016,10
F,亳州学院,2017,60
F,桂林理工大学,2016,1057
M,广西师范大学,2017,363
F,广西师范大学,2017,1148
F,广西师范大学,2017,392
M,陕西科技大学,2016,387
M,贵州工程应用技术学院,2017,104
M,贵州民族大学,2017,74
F,广西师范大学,2016,608
M,广西师范大学,2017,119
F,广西师范大学,2016,452
M,广西农业职业技术学院,2016,199
F,广西师范大学,2017,245
M,四川建筑职业技术学院,2017,80
F,桂林理工大学,2015,306
M,广西中医药大学赛恩斯新医药学院,2016,547
F,广西师范大学,2017,1405
M,顺德职业技术学院,2017,54
F,贵州理工学院,2016,438
M,长春大学,2015,6
F,广西师范大学,2015,406
F,广西师范大学,2016,1780
M,广西卫生职业技术学院,2017,14
M,广西师范学院,2017,121
F,广西师范大学,2017,1624
F,广西师范学院,2017,155
M,广西民族大学,2016,41
M,贵阳中医学院,2016,60
F,广西师范学院,2017,184
M,梧州职业学院,2017,227
F,广西师范学院,2016,431
F,广西师范学院,2017,446
M,广西师范大学,2017,352
F,桂林理工大学,2016,1550
M,广西农业职业技术学院,2017,99
F,广西师范大学,2017,184
M,长春大学,2016,28
F,广西师范大学,2017,235
M,贵州理工学院,2017,659
M,广西师范大学,2016,324
M,云南师范大学,2015,44
M,广西师范大学,2017,969
M,广西科技大学,2017,72
M,广西师范学院,2017,301
M,上海海洋大学,2017,707
M,广西师范大学,2017,628
M,四川化工职业技术学院,2016,1457
M,桂林理工大学,2017,389
F,广西师范大学,2016,2710
M,广西师范大学,2016,237
F,广西师范大学,2017,1380
M,广西师范大学,2016,307
M,广西师范学院,2017,171
F,贵州工程应用技术学院,2017,192
M,柳州城市职业学院,2016,147
F,哈尔滨师范大学,2017,5
M,陕西科技大学,2016,4684
M,西华师范大学,2017,231
F,广西师范大学,2015,585
M,兰州理工大学,2015,533
M,广西中医药大学赛恩斯新医药学院,2015,110
M,广西幼儿师范高等专科学校,2017,145
F,东华大学,2017,355
M,广西师范大学,2016,425
F,广西师范大学,2015,584
F,广西师范大学,2017,185
F,广西师范大学,2016,521
M,山东师范大学,2017,160
M,广西师范学院,2016,333
M,广西师范大学,2016,776
M,桂林理工大学,2017,145
M,安徽医科大学,2016,233
M,梧州职业学院,2017,64
M,广西师范大学,2017,199
M,石家庄铁道大学,2016,24
M,广东碧桂园职业学院,2016,34
M,四川化工职业技术学院,2016,828
M,广西师范学院,2017,171
F,广西师范大学,2016,577
F,广西科技大学,2017,149
M,广西师范大学,2015,709
M,贵州工程应用技术学院,2017,148
M,梧州职业学院,2017,48
F,阿坝师范学院,2016,573
M,兰州理工大学,2016,418
M,广西农业职业技术学院,2017,103
M,贵州民族大学,2017,50
