性别,大学,入学年,J值
M,昆明理工大学,2018,28
M,湖南工业大学,2018,16
M,太原科技大学,2017,44
M,东莞理工学院城市学院,2018,16
M,湖南文理学院,2016,20
M,湖南师范大学,2018,32
F,桂林理工大学,2016,374
F,安徽师范大学,2018,26
F,西华师范大学,2017,407
M,承德医学院,2014,0
M,右江民族医学院,2016,3869
M,聊城大学,2018,2
M,包头师范学院,2018,26
F,四川工业科技学院,2017,486
F,陕西科技大学,2018,17
F,西华大学,2018,16
F,陕西铁路工程职业技术学院,2017,2984
M,贵州大学,2018,28
M,内蒙古财经大学,2018,24
F,湖南工业大学,2018,18
M,聊城大学,2018,14
M,安徽师范大学,2018,18
F,安徽师范大学,2018,26
M,杭州电子科技大学,2018,28
M,六盘水师范学院,2018,20
M,聊城大学,2018,20
M,安徽师范大学,2018,2
M,南京邮电大学,2018,30
M,陕西科技大学,2017,568
M,六盘水师范学院,2018,37
M,湖南师范大学,2018,26
M,西华大学,2018,
M,包头师范学院,2018,18
F,聊城大学,2018,28
M,贵州民族大学,2017,81
F,西华大学,2018,38
M,西华大学,2018,4
F,河北科技大学,2018,28
M,湖南工业大学,2018,34
M,内蒙古大学,2017,80
M,广西医科大学,2018,44
F,西南医科大学,2018,34
M,川北医学院,2018,28
M,安徽师范大学,2018,47
F,六盘水师范学院,2018,66
F,河北金融学院,2018,30
F,包头师范学院,2018,24
F,安徽师范大学,2018,30
M,聊城大学,2018,22
F,四川信息职业技术学院,2016,1760
M,西南医科大学,2018,6
M,石家庄铁道大学,2018,22
M,广东第二师范学院,2018,2
M,湖南工业大学,2018,22
M,陕西科技大学,2017,2292
F,西华大学,2018,66
F,湖南师范大学,2018,42
M,陕西科技大学,2018,20
M,六盘水师范学院,2018,4
M,广东第二师范学院,2018,36
M,六盘水师范学院,2018,24
F,沈阳建筑大学,2017,255
M,西南石油大学,2018,4
F,三明学院,2017,1555
M,杭州电子科技大学,2018,24
M,西南医科大学,2018,24
F,西华大学,2017,1553
M,河北科技大学,2018,35
F,玉溪师范学院,2017,521
M,杭州电子科技大学,2018,42
M,河北农业大学,2018,4
F,包头师范学院,2018,54
M,西南石油大学,2018,4
M,杭州电子科技大学,2018,6
M,六盘水师范学院,2018,18
M,满洲里学院,2016,44
M,昆明理工大学,2018,8
M,河北经贸大学,2018,20
F,西南医科大学,2018,62
M,山东理工大学,2015,846
F,广西民族大学,2016,201
F,佛山科学技术学院,2018,27
M,包头师范学院,2018,26
M,安徽师范大学,2018,22
M,河北农业大学,2018,30
F,陕西科技大学,2018,116
M,河北科技大学,2018,32
M,西华大学,2018,24
M,河北农业大学,2018,24
M,杭州电子科技大学,2018,34
F,湖南师范大学,2018,34
M,陕西科技大学,2018,102
M,南京邮电大学,2018,30
M,广西医科大学,2018,18
F,西南医科大学,2018,30
M,杭州电子科技大学,2018,28
M,榆林学院,2018,34
M,湖南工业大学,2018,26
F,佛山科学技术学院,2018,56
M,包头师范学院,2018,60
M,湖南科技职业学院,2016,4
M,广西科技大学鹿山学院,2017,253
M,西南医科大学,2018,39
F,广西经贸职业技术学院,2017,1092
F,陕西科技大学,2018,38
M,包头师范学院,2018,8
M,顺德职业技术学院,2017,2
M,赤峰学院,2018,28
M,贵州大学,2018,4
M,湘南学院,2018,6
M,湖南师范大学,2018,4
M,西华大学,2018,4
M,广西师范大学,2015,1076
F,华南师范大学,2016,48
F,安徽师范大学,2016,380
M,杭州电子科技大学,2018,22
M,西南石油大学,2018,38
F,陕西科技大学,2018,18
M,云南大学,2018,24
M,云南艺术学院,2018,42
M,华北水利水电大学,2018,18
F,赤峰学院,2018,26
M,西南医科大学,2018,19
M,南方医科大学,2018,4
F,泉州师范学院,2016,10837
F,贵州师范大学,2016,1639
M,广西医科大学,2017,2348
M,陕西科技大学,2018,46
M,黑龙江大学,2018,40
F,西南医科大学,2018,44
M,广西师范大学,2016,481
M,西南石油大学,2018,6
F,广西师范大学,2017,659
F,广西师范大学,2016,591
M,成都纺织高等专科学校,2017,505
M,湘南学院,2017,752
M,云南大学,2018,16
M,厦门海洋职业技术学院,2018,6
M,黑龙江八一农垦大学,2018,28
M,包头师范学院,2018,18
M,长沙航空职业技术学院,2017,48
F,广西经济管理干部学院,2017,1016
F,广西师范大学,2017,213
F,贵州理工学院,2017,1684
F,广西师范大学,2017,456
F,广西中医药大学,2016,5497
M,东莞理工学院城市学院,2018,4
M,贵州民族大学,2017,69
F,莆田学院,2016,4661
M,广州科技贸易职业学院,2018,17
M,广州科技贸易职业学院,2018,6
F,塔里木大学,2017,33
M,陕西科技大学,2018,34
F,四川化工职业技术学院,2017,784
M,上海行健职业学院,2016,310
M,广西电力职业技术学院,2017,696
M,包头师范学院,2018,36
M,赤峰学院,2018,24
M,西南科技大学,2017,3137
M,湖南财政经济学院,2016,512
M,贵州大学,2018,24
M,南京邮电大学,2018,4
F,内蒙古电子信息职业技术学院,2017,816
M,河北农业大学,2018,12
M,杭州电子科技大学,2018,28
M,西华师范大学,2017,3890
M,杭州电子科技大学,2018,22
M,广西电力职业技术学院,2017,659
M,六盘水师范学院,2018,20
F,泉州师范学院,2015,9588
M,杭州电子科技大学,2018,46
F,贵州医科大学,2017,1976
M,大连海事大学,2018,20
M,赤峰学院,2018,164
M,河北农业大学,2018,4
F,陕西科技大学,2017,646
M,广西科技大学,2017,97
M,杭州电子科技大学,2018,2
M,广西科技大学,2017,389
M,陕西科技大学,2017,2190
M,河北科技大学,2018,34
M,河北经贸大学,2018,6
M,杭州电子科技大学,2018,32
M,湖南师范大学,2018,24
M,西南林业大学,2017,18
M,石河子大学,2017,326
M,西南石油大学,2018,46
M,赤峰学院,2018,40
F,聊城大学,2018,18
M,广西电力职业技术学院,2017,1544
M,广西中医药大学赛恩斯新医药学院,2016,447
F,南京邮电大学,2018,28
M,淮南师范学院,2016,22
F,成都学院,2017,2446
M,西南石油大学,2018,30
M,内蒙古大学,2018,19
M,湖南财政经济学院,2015,167
M,广西师范大学,2015,267
F,广西经贸职业技术学院,2017,1508
M,广西经贸职业技术学院,2017,358
M,陕西铁路工程职业技术学院,2017,2814
M,安徽师范大学,2017,409
M,湖南师范大学,2018,34
M,厦门大学,2017,8
F,湖南工业大学,2018,30
F,西华大学,2017,8673
M,赤峰学院,2018,6
F,黎明职业大学,2016,853
F,包头师范学院,2018,48
F,西南石油大学,2018,30
F,亳州学院,2017,498
F,广西交通职业技术学院,2017,1166
M,包头师范学院,2018,22
M,莆田学院,2017,3001
M,大连海事大学,2018,15
M,黑龙江八一农垦大学,2018,24
M,湖南交通职业技术学院,2017,16
M,六盘水师范学院,2018,34
M,成都医学院,2017,1304
M,南京邮电大学,2018,24
M,河北科技大学,2018,34
M,包头师范学院,2018,58
F,西南医科大学,2018,58
M,西安体育学院,2017,173
F,广西师范大学,2017,2007
M,湖南工业大学,2018,10
M,陕西科技大学,2018,44
F,中国医科大学,2018,88
M,厦门大学,2017,9
M,河北师范大学,2018,12
M,西安医学院,2017,1151
M,内蒙古大学,2018,34
F,赤峰学院,2018,32
M,河北农业大学,2018,28
M,东北师范大学,2018,20
M,河北农业大学,2018,32
M,赤峰学院,2018,22
M,河北农业大学,2018,38
F,六盘水师范学院,2018,8
M,杭州电子科技大学,2018,30
F,厦门大学,2017,187
M,厦门海洋职业技术学院,2018,26
M,杭州电子科技大学,2018,16
M,兰州理工大学,2017,915
M,亳州学院,2017,750
M,河北科技大学,2018,42
M,包头师范学院,2018,20
F,成都学院,2017,198
M,南京邮电大学,2018,28
F,安徽师范大学,2018,14
M,杭州电子科技大学,2018,21
M,南京邮电大学,2018,42
M,河北经贸大学,2018,4
M,西南石油大学,2018,26
M,陕西科技大学,2016,938
M,湖南工业大学,2018,2
M,河北农业大学,2018,35
M,西南医科大学,2018,22
M,广西师范大学,2017,271
M,杭州电子科技大学,2018,34
M,陕西铁路工程职业技术学院,2017,5425
F,安徽师范大学,2018,4
F,桂林理工大学,2016,534
F,广西师范大学,2015,450
M,东北石油大学,2017,18
M,河北农业大学,2018,36
M,河北大学,2018,2
M,聊城大学,2018,26
M,黑龙江八一农垦大学,2018,32
M,陕西科技大学,2017,504
M,云南艺术学院,2017,490
M,佛山科学技术学院,2018,49
M,西南财经大学,2018,3
M,湖南师范大学,2018,20
M,西北农林科技大学,2017,287
F,聊城大学,2018,24
M,陕西科技大学,2018,2
F,右江民族医学院,2016,6826
M,玉溪师范学院,2015,367
F,赤峰学院,2018,40
M,赤峰学院,2015,26
M,河北大学,2018,2
F,东莞理工学院城市学院,2018,64
M,湖南师范大学,2018,4
M,西南财经大学,2018,5
M,河北农业大学,2018,20
M,南京邮电大学,2018,4
M,西南石油大学,2018,
M,云南艺术学院,2018,66
M,赤峰学院,2018,7
M,赤峰学院,2018,14
F,陕西科技大学,2018,8
M,南京邮电大学,2018,24
M,河北科技大学,2018,18
M,河北科技大学,2018,4
M,贵州理工学院,2017,1817
F,广西师范大学,2017,4307
M,包头师范学院,2018,4
F,赤峰学院,2018,24
M,西华大学,2018,92
F,华南农业大学,2018,28
F,河北农业大学,2018,32
M,河北科技大学,2018,30
M,河北科技大学,2018,22
F,广西中医药大学赛恩斯新医药学院,2016,588
M,南京邮电大学,2018,6
M,榆林学院,2018,14
F,广西师范大学,2017,3589
M,贵州大学,2018,20
M,河北科技大学,2018,41
M,安徽师范大学,2018,30
M,大连海事大学,2018,24
M,西南财经大学,2018,4
F,上海电机学院,2016,18062
M,安徽科技学院,2017,372
M,安徽师范大学,2018,22
M,安徽师范大学,2018,4
M,西南财经大学,2018,26
F,西南财经大学,2018,11
M,杭州电子科技大学,2018,33
M,桂林理工大学,2015,603
M,聊城大学,2018,28
M,山东理工大学,2018,41
M,内蒙古大学,2018,40
M,西南石油大学,2018,
M,安徽师范大学,2018,24
F,六盘水师范学院,2018,30
M,河北科技大学,2018,28
M,河北农业大学,2018,54
M,河北科技大学,2018,10
M,西南医科大学,2018,4
M,西南财经大学,2018,6
M,六盘水师范学院,2018,4
F,西南医科大学,2017,2240
M,西南石油大学,2018,8
M,黑龙江八一农垦大学,2018,20
M,河北农业大学,2018,115
M,赤峰学院,2018,26
M,聊城大学,2018,32
M,陕西科技大学,2018,8
M,安徽科技学院,2017,1455
M,西南财经大学,2018,40
M,安徽师范大学,2018,24
M,西南石油大学,2018,66
M,齐鲁工业大学,2017,121
M,赤峰学院,2018,6
M,安徽师范大学,2018,26
F,杭州电子科技大学,2018,43
M,南京邮电大学,2018,46
M,杭州电子科技大学,2018,20
M,贵州大学,2018,18
F,桂林医学院,2017,7238
F,内蒙古大学,2018,52
M,杭州电子科技大学,2017,17
M,内蒙古大学,2018,28
M,广西师范大学,2017,3133
M,赤峰学院,2018,24
M,武夷学院,2016,2876
F,聊城大学,2018,18
F,湖南师范大学,2018,18
M,石河子大学,2017,134
M,石家庄铁道大学,2018,46
F,包头师范学院,2018,38
M,赤峰学院,2018,20
M,西南石油大学,2016,235
M,西南石油大学,2018,36
M,河北科技大学,2018,28
M,山东理工大学,2018,21
M,杭州电子科技大学,2018,24
M,西南医科大学,2018,36
M,黑龙江八一农垦大学,2018,26
M,黑龙江八一农垦大学,2018,22
M,湖南工业大学,2018,20
M,河北农业大学,2018,9
M,广西中医药大学赛恩斯新医药学院,2017,614
F,广西民族大学,2017,106
M,陕西科技大学,2018,42
M,安徽工业大学,2016,138
F,黑龙江八一农垦大学,2018,35
M,陕西科技大学,2018,26
M,西北农林科技大学,2017,3122
F,南京邮电大学,2018,20
M,西南财经大学,2018,30
M,内蒙古财经大学,2018,20
F,湖南师范大学,2018,16
M,山东理工大学,2017,2391
F,广西经贸职业技术学院,2017,2181
M,湖南文理学院,2018,18
M,山东理工大学,2017,291
F,广西师范大学,2016,2266
M,华北水利水电大学,2018,54
F,内蒙古大学,2018,81
M,河北农业大学,2018,32
M,内蒙古大学,2018,88
F,河北农业大学,2018,6
M,佛山科学技术学院,2017,4456
F,贵州大学,2018,2
M,贵州大学,2018,4
M,山东理工大学,2018,60
M,兰州理工大学,2017,2385
M,山东理工大学,2017,380
M,山东理工大学,2018,31
M,赤峰学院,2018,24
M,山东理工大学,2018,34
M,西南医科大学,2018,106
M,山东理工大学,2018,32
M,山东理工大学,2018,28
M,内蒙古大学,2018,32
M,黑龙江八一农垦大学,2018,2
F,广西师范学院,2016,1676
F,山东理工大学,2018,24
M,河北大学,2018,18
F,湖南文理学院,2018,6
M,山东理工大学,2018,51
M,山东理工大学,2018,4
F,广西大学,2015,2708
M,安徽师范大学,2018,24
M,泉州理工职业学院,2017,43
M,包头师范学院,2018,18
F,广西中医药大学赛恩斯新医药学院,2015,458
F,南京邮电大学,2018,34
M,黑龙江大学,2018,20
M,西南财经大学,2018,20
F,贵州大学,2018,84
F,山东理工大学,2018,24
M,安徽师范大学,2018,16
M,杭州电子科技大学,2018,15
M,黑龙江八一农垦大学,2018,12
M,湖南文理学院,2018,22
M,内蒙古工业大学,2016,1124
M,西南财经大学,2018,5
F,福建工程学院,2015,1284
F,贵州大学,2018,30
M,六盘水师范学院,2018,31
F,河北农业大学,2018,2
M,山东理工大学,2018,22
M,包头师范学院,2017,60
M,西南石油大学,2018,28
M,河北科技大学,2018,8
M,桂林理工大学,2017,254
F,西南财经大学,2018,51
M,河北科技大学,2018,25
M,湖南师范大学,2018,18
M,山东理工大学,2018,8
F,黑龙江八一农垦大学,2018,36
M,贵州大学,2018,33
F,贵州理工学院,2017,1064
F,桂林理工大学,2015,207
F,石河子大学,2016,230
M,赤峰学院,2018,46
M,黑龙江八一农垦大学,2018,24
M,安徽师范大学,2017,2
M,南京邮电大学,2018,6
F,福建师范大学,2017,225
M,广东医科大学,2017,102
M,陕西科技大学,2018,30
M,四川化工职业技术学院,2017,1702
M,西南财经大学,2018,18
M,西南财经大学,2018,2
M,山东理工大学,2018,16
M,中山大学,2018,16
F,西南财经大学,2018,22
M,安徽师范大学,2018,4
M,贵州大学,2018,28
M,湘南学院,2017,62
F,山东理工大学,2018,6
M,贵州师范学院,2017,91
M,杭州电子科技大学,2018,88
M,西南财经大学,2018,19
F,西南财经大学,2018,26
F,山东师范大学,2017,177
M,山东理工大学,2018,2
M,安徽师范大学,2018,20
F,河北农业大学,2018,30
M,山东理工大学,2018,77
M,山东理工大学,2017,1864
M,西南石油大学,2018,27
M,南京邮电大学,2018,6
M,佛山科学技术学院,2018,127
M,河北农业大学,2018,16
M,湖南师范大学,2018,6
M,西南石油大学,2018,113
M,山东理工大学,2018,24
F,广西师范大学,2017,1799
F,广西师范大学,2017,356
F,贵州大学,2018,62
M,南京邮电大学,2018,4
M,陕西科技大学,2018,12
M,沈阳建筑大学,2016,1218
F,陕西科技大学,2018,30
M,南京邮电大学,2018,26
M,河北科技大学,2018,76
M,广西民族大学,2017,2667
M,河北师范大学,2018,6
M,河北科技大学,2018,6
M,四川化工职业技术学院,2017,2163
M,西南财经大学,2018,18
M,赤峰学院,2018,6
M,湖南财政经济学院,2017,583
F,西南医科大学,2018,76
M,南京邮电大学,2018,8
M,河北科技大学,2018,24
F,内蒙古大学,2018,26
M,杭州电子科技大学,2018,8
M,山东理工大学,2018,4
F,云南艺术学院,2016,55
M,河北农业大学,2018,4
M,佛山科学技术学院,2018,28
M,西南财经大学,2018,38
M,西南石油大学,2018,22
M,聊城大学,2018,6
F,赤峰学院,2018,42
M,黑龙江大学,2018,2
M,包头师范学院,2018,26
M,南京邮电大学,2018,28
M,昆明理工大学,2018,2
F,西南财经大学,2018,26
F,河北农业大学,2018,23
M,西南财经大学,2018,24
M,内蒙古电子信息职业技术学院,2017,158
F,湖南师范大学,2018,14
M,内蒙古大学,2018,52
M,西南石油大学,2018,24
M,西南石油大学,2018,0
M,贵州大学,2018,0
F,贵州大学,2018,26
M,湖南工业大学,2018,32
M,河北农业大学,2018,35
M,黑龙江八一农垦大学,2018,30
F,川北医学院,2018,24
F,嘉应学院,2016,2800
M,西南财经大学,2018,27
F,广西科技大学鹿山学院,2017,117
M,黑龙江八一农垦大学,2018,20
F,六盘水师范学院,2018,4
M,湖南工业大学,2017,18
M,兰州理工大学,2016,106
M,西南财经大学,2018,11
M,六盘水师范学院,2018,18
M,塔里木大学,2015,74
M,安徽师范大学,2018,22
M,赤峰学院,2018,22
M,山东理工大学,2017,506
M,黑龙江八一农垦大学,2018,4
F,南京邮电大学,2018,46
M,河北师范大学,2018,30
F,山东理工大学,2018,66
M,云南大学,2018,16
M,广西农业职业技术学院,2018,50
F,广西中医药大学,2017,900
M,贵州大学,2018,18
M,黑龙江八一农垦大学,2018,30
F,桂林医学院,2017,9027
M,六盘水师范学院,2018,20
M,四川邮电职业技术学院,2017,26
M,河北师范大学,2018,20
F,黑龙江八一农垦大学,2018,2
F,广西师范学院,2017,1344
F,湖南工业大学,2018,54
F,凯里学院,2015,479
F,嘉应学院,2015,1098
M,西南财经大学,2018,66
M,陕西科技大学,2018,2
M,佛山科学技术学院,2018,44
F,广西农业职业技术学院,2016,389
M,赤峰学院,2018,16
F,川北医学院,2018,76
M,呼伦贝尔学院,2017,61
M,山东理工大学,2018,32
M,杭州电子科技大学,2018,14
M,桂林理工大学,2015,149
M,河北农业大学,2018,38
M,广西民族大学,2017,78
M,山东理工大学,2017,426
M,莆田学院,2018,46
M,聊城大学,2018,4
M,西南财经大学,2018,14
F,广西中医药大学,2017,2034
M,湖南师范大学,2018,20
M,河北农业大学,2018,48
M,黑龙江八一农垦大学,2018,24
M,莆田学院,2018,70
M,山东理工大学,2018,28
M,山东理工大学,2017,74
M,东北石油大学,2018,22
M,河北农业大学,2018,32
M,陕西科技大学,2017,572
M,河北农业大学,2018,6
M,西南医科大学,2018,6
F,南京邮电大学,2018,14
M,西南财经大学,2018,18
M,湖南财政经济学院,2017,268
M,安徽师范大学,2018,37
F,佛山科学技术学院,2016,9467
M,内蒙古化工职业学院,2017,442
M,杭州电子科技大学,2018,6
M,皖南医学院,2015,44
M,山东理工大学,2018,20
M,湘南学院,2018,27
M,南京邮电大学,2018,32
M,西南财经大学,2018,22
M,南京邮电大学,2018,8
M,山东理工大学,2018,32
M,中国石油大学（华东）,2014,86
M,湖南文理学院,2018,38
F,广西民族大学,2017,559
M,南京邮电大学,2018,10
M,西南财经大学,2018,18
M,四川农业大学,2017,13
M,南京邮电大学,2018,12
M,西南医科大学,2018,52
M,安徽师范大学,2018,34
M,西南财经大学,2018,56
F,中国医科大学,2018,39
M,黑龙江八一农垦大学,2018,10
M,安徽师范大学,2018,4
M,中国石油大学（华东）,2014,1522
M,浙江理工大学,2016,239
F,西南财经大学,2017,495
M,云南大学,2018,28
F,河北农业大学,2018,25
F,山东理工大学,2018,55
M,桂林理工大学,2016,1535
M,聊城大学,2018,4
M,云南民族大学,2016,26
M,湖南师范大学,2018,22
F,河北农业大学,2018,42
F,安徽师范大学,2018,2
M,河北科技大学,2018,20
M,内蒙古财经大学,2018,63
M,聊城大学,2018,30
M,西南财经大学,2018,35
M,河北师范大学,2018,28
M,广西师范大学,2016,593
M,陕西科技大学,2018,6
M,六盘水师范学院,2018,6
F,河北农业大学,2018,36
F,莆田学院,2018,2
F,安徽师范大学,2018,26
M,梧州学院,2015,149
M,昆明理工大学,2018,20
M,华侨大学,2017,2138
M,包头师范学院,2017,8
M,邵阳学院,2014,962
M,赤峰学院,2018,20
M,山东理工大学,2018,43
F,亳州学院,2017,40
M,石河子大学,2016,197
M,贵州大学,2018,18
F,山东理工大学,2017,230
F,安徽师范大学,2018,32
M,西南医科大学,2016,2325
M,杭州电子科技大学,2018,6
M,山东理工大学,2018,14
M,安徽师范大学,2018,4
M,山东理工大学,2017,3493
M,黑龙江八一农垦大学,2018,10
F,赤峰学院,2018,18
M,黎明职业大学,2018,180
M,安徽师范大学,2018,18
M,大连海事大学,2018,12
M,贵州大学,2018,4
M,西南医科大学,2017,400
F,河北农业大学,2018,32
F,广西外国语学院,2014,1390
M,山东理工大学,2018,4
F,山东理工大学,2018,8
M,湖南师范大学,2018,28
M,南京邮电大学,2018,2
M,黑龙江八一农垦大学,2018,7
M,河北农业大学,2018,19
M,山东理工大学,2018,36
M,内蒙古大学,2018,50
F,西南财经大学,2018,29
F,亳州学院,2017,380
M,南京邮电大学,2018,8
F,东北石油大学,2018,4
M,西南财经大学,2018,2
F,河北科技大学,2018,39
F,安徽师范大学,2018,30
F,西南财经大学,2018,23
F,包头师范学院,2018,48
M,河北科技大学,2018,29
M,聊城大学,2018,22
F,赤峰学院,2018,32
F,陕西科技大学,2018,34
M,西南财经大学,2018,18
F,东北石油大学,2018,18
M,山东理工大学,2018,28
M,山西财经大学,2017,20
M,河北科技大学,2018,35
M,湖南工业大学,2018,16
F,湖南中医药大学,2016,112
M,湖南师范大学,2018,14
M,成都农业科技职业学院,2016,2532
F,西南石油大学,2018,52
M,西南财经大学,2018,6
M,兰州理工大学,2016,2826
M,山东理工大学,2017,97
M,湖南文理学院,2018,36
F,湖南师范大学,2018,18
M,河北农业大学,2018,38
M,湖南师范大学,2018,2
F,广西农业职业技术学院,2016,1641
M,南京邮电大学,2018,29
M,西南石油大学,2018,34
M,河北科技大学,2018,18
M,聊城大学,2018,20
M,西南财经大学,2018,4
M,西南石油大学,2018,42
M,西南石油大学,2018,26
M,河北科技大学,2018,22
M,西南医科大学,2018,26
M,湖南文理学院,2018,4
M,西南石油大学,2018,49
F,河北科技大学,2018,12
M,西南医科大学,2018,18
M,湖南师范大学,2018,29
M,包头师范学院,2018,4
M,山东理工大学,2018,24
F,长沙民政职业技术学院,2016,526
M,安徽师范大学,2018,10
F,湘南学院,2018,63
F,东北石油大学,2018,28
F,广西师范大学,2017,709
F,陕西科技大学,2017,610
M,山东理工大学,2018,22
M,河源职业技术学院,2017,1394
M,安徽师范大学,2018,36
M,杭州电子科技大学,2018,12
M,成都工业职业技术学院,2017,760
M,赤峰学院,2016,12
M,内蒙古大学创业学院,2015,2
M,山东理工大学,2018,34
M,西南财经大学,2018,4
F,包头师范学院,2018,29
F,西南石油大学,2018,30
M,赤峰学院,2018,18
M,河北科技大学,2018,42
M,湖南工业大学,2018,2
F,西南财经大学,2018,36
M,广东第二师范学院,2018,32
M,湖南工业大学,2018,18
M,桂林医学院,2017,12
M,大连海事大学,2018,34
M,河北农业大学,2018,24
M,桂林理工大学,2017,262
M,西南石油大学,2018,4
M,山东理工大学,2017,1699
F,西南财经大学,2018,20
M,六盘水师范学院,2018,4
M,川北医学院,2018,4
F,杭州电子科技大学,2016,32
F,西南财经大学,2018,5
M,桂林理工大学,2015,1530
M,聊城大学,2018,30
M,山东理工大学,2018,26
F,河北农业大学,2018,29
F,河北科技大学,2018,24
M,西昌学院,2017,53
M,东北石油大学,2016,58
F,安徽师范大学,2018,31
F,东北石油大学,2018,20
M,西南财经大学,2018,4
M,云南大学,2018,56
M,河北金融学院,2018,12
F,六盘水师范学院,2018,4
M,包头师范学院,2018,4
M,桂林理工大学,2016,1919
M,安徽师范大学,2018,24
M,石河子大学,2017,372
F,南京邮电大学,2018,34
F,西南医科大学,2018,34
M,陕西科技大学,2018,16
M,聊城大学,2018,18
M,西南石油大学,2018,18
F,安徽师范大学,2018,18
M,河北科技大学,2018,29
M,湖南工业大学,2018,26
M,渭南师范学院,2016,372
F,邵阳学院,2017,258
M,赤峰学院,2018,2
M,安徽师范大学,2018,0
M,河北科技大学,2018,20
M,西华大学,2018,17
M,西南财经大学,2018,22
F,河北科技大学,2018,32
F,南京邮电大学,2018,56
M,山东理工大学,2018,26
M,广西科技大学鹿山学院,2017,172
F,西南医科大学,2017,1083
F,昆明理工大学,2018,19
F,桂林理工大学,2017,2683
M,黑龙江八一农垦大学,2018,6
F,莆田学院,2015,3706
M,山东理工大学,2017,925
M,内蒙古民族幼儿师范高等专科学校,2017,38
M,贵州大学,2018,16
F,东北石油大学,2018,2
M,东北石油大学,2018,22
M,湖南师范大学,2018,30
F,广西民族大学,2017,521
F,西南财经大学,2018,112
M,柳州城市职业学院,2017,178
M,湖南工业大学,2018,26
F,包头师范学院,2018,32
M,西南财经大学,2018,2
M,河北农业大学,2018,42
F,西南财经大学,2018,5
M,湖南师范大学,2018,8
M,顺德职业技术学院,2017,32
M,六盘水师范学院,2018,26
M,赤峰学院,2018,4
M,遵义师范学院,2017,713
M,安徽师范大学,2018,14
F,云南艺术学院,2018,4
M,黑龙江农业工程职业学院,2017,57
M,广西民族大学,2015,124
M,杭州电子科技大学,2018,40
M,贵州大学,2018,34
M,云南大学,2018,16
M,贵州大学,2018,39
F,湖南师范大学,2018,18
M,山东理工大学,2018,44
M,石家庄铁道大学,2018,26
M,湖南工业大学,2018,26
F,玉溪师范学院,2015,345
M,包头师范学院,2017,22
M,南京邮电大学,2018,31
M,南京邮电大学,2018,16
F,昆明理工大学,2018,35
M,湖南工业大学,2016,180
M,陕西科技大学,2018,4
M,西南医科大学,2018,24
M,广州科技贸易职业学院,2018,4
M,西南财经大学,2018,3
F,西南财经大学,2018,33
M,贵州大学,2018,40
M,南京邮电大学,2018,50
M,川北医学院,2018,4
M,石家庄学院,2017,395
M,山东理工大学,2017,66
F,西南科技大学,2016,8529
F,六盘水师范学院,2018,44
F,河北农业大学,2018,24
M,广西农业职业技术学院,2018,18
M,南京邮电大学,2018,2
M,山东理工大学,2018,27
M,贵州大学,2018,2
M,黑龙江大学,2018,20
M,华北水利水电大学,2018,42
M,漳州科技职业学院,2016,20
M,广西医科大学,2018,34
M,东北石油大学,2018,34
M,山东理工大学,2018,26
M,河北科技大学,2018,20
M,河北农业大学,2018,26
F,湖南工业大学,2018,10
M,山东理工大学,2018,6
M,包头师范学院,2017,2
F,安徽师范大学,2018,4
F,河北师范大学汇华学院,2018,26
M,贵州大学,2018,30
M,东北石油大学,2018,18
F,贵州工程应用技术学院,2018,26
M,赤峰学院,2016,62
M,南方医科大学,2018,18
F,六盘水师范学院,2017,67
M,东北石油大学,2018,38
M,河北经贸大学,2018,14
F,昆明理工大学,2017,639
M,安徽师范大学,2018,18
M,河北农业大学,2018,4
M,广西电力职业技术学院,2018,2
M,黑龙江八一农垦大学,2018,6
M,兰州理工大学,2017,933
M,西南财经大学,2018,2
F,西南财经大学,2018,16
M,东北石油大学,2018,24
M,陕西科技大学,2018,18
F,西南医科大学,2018,30
M,包头师范学院,2018,18
F,广西师范大学,2017,922
F,陕西科技大学,2015,600
M,河北建材职业技术学院,2018,58
F,赤峰学院,2018,28
M,陕西科技大学,2018,4
M,湖南师范大学,2018,26
M,安徽师范大学,2018,26
M,黑龙江八一农垦大学,2018,21
M,山东理工大学,2016,730
M,川北医学院,2018,20
F,河北科技大学,2018,23
M,山东理工大学,2018,44
M,黑龙江八一农垦大学,2018,4
M,包头师范学院,2018,4
M,山东理工大学,2018,19
M,南京邮电大学,2018,26
M,河北金融学院,2018,30
M,内蒙古农业大学职业技术学院,2015,100
M,河北农业大学,2018,6
M,复旦大学,2018,127
M,山东理工大学,2018,6
M,成都农业科技职业学院,2017,2874
F,河北农业大学,2018,27
F,西南财经大学,2018,21
M,河北农业大学,2018,20
M,内蒙古大学,2018,20
F,成都师范学院,2016,1712
F,西南石油大学,2018,2
M,赤峰学院,2018,25
M,榆林学院,2018,30
M,湖南工业大学,2017,18
M,东北石油大学,2017,22
M,西南财经大学,2018,77
M,陕西科技大学,2015,344
M,广西农业职业技术学院,2018,43
M,赤峰学院,2017,41
F,石河子大学,2017,262
M,西南石油大学,2018,14
M,聊城大学,2018,26
M,内蒙古财经大学,2018,28
F,广西经贸职业技术学院,2017,1751
M,西华大学,2018,2
M,西南财经大学,2018,19
F,广西工商职业技术学院,2017,62
M,安徽师范大学,2018,295
F,西南财经大学,2018,20
M,安徽科技学院,2017,1138
M,河北科技大学,2018,30
M,广西科技大学,2017,1365
M,湖南师范大学,2018,26
F,河北农业大学,2018,22
